2026-04-25T15:29:03.784070 | 2026-04-25 | FACT-2026-04-25-0039 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:30:57.782713 | 2026-04-26 | FACT-2026-04-26-0009 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:30:57.782714 | 2026-04-26 | FACT-2026-04-26-0010 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:30:57.782715 | 2026-04-26 | FACT-2026-04-26-0011 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:30:57.782716 | 2026-04-26 | FACT-2026-04-26-0012 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:30:57.782717 | 2026-04-26 | FACT-2026-04-26-0013 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447191 | 2026-04-26 | FACT-2026-04-26-0002 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447196 | 2026-04-26 | FACT-2026-04-26-0003 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447198 | 2026-04-26 | FACT-2026-04-26-0004 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447199 | 2026-04-26 | FACT-2026-04-26-0005 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447200 | 2026-04-26 | FACT-2026-04-26-0007 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447201 | 2026-04-26 | FACT-2026-04-26-0008 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447202 | 2026-04-26 | FACT-2026-04-26-0009 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447203 | 2026-04-26 | FACT-2026-04-26-0010 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447204 | 2026-04-26 | FACT-2026-04-26-0011 | skip | 旧事实置信度更高(0.9 >= 0.9)，需用户确认
2026-04-26T09:40:32.447205 | 2026-04-26 | FACT-2026-04-26-0012 | skip | 旧事实置信度更高(0.9 >= 0.9)，需用户确认
2026-04-26T09:40:32.447206 | 2026-04-26 | FACT-2026-04-26-0013 | skip | 旧事实置信度更高(0.85 >= 0.85)，需用户确认
2026-04-26T09:40:32.447207 | 2026-04-26 | FACT-2026-04-26-0014 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447208 | 2026-04-26 | FACT-2026-04-26-0015 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447209 | 2026-04-26 | FACT-2026-04-26-0017 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447210 | 2026-04-26 | FACT-2026-04-26-0018 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447211 | 2026-04-26 | FACT-2026-04-26-0019 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447211 | 2026-04-26 | FACT-2026-04-26-0020 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447212 | 2026-04-26 | FACT-2026-04-26-0021 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447213 | 2026-04-26 | FACT-2026-04-26-0022 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447214 | 2026-04-26 | FACT-2026-04-26-0023 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447215 | 2026-04-26 | FACT-2026-04-26-0024 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447216 | 2026-04-26 | FACT-2026-04-26-0025 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447217 | 2026-04-26 | FACT-2026-04-26-0026 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447218 | 2026-04-26 | FACT-2026-04-26-0027 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447219 | 2026-04-26 | FACT-2026-04-26-0028 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447220 | 2026-04-26 | FACT-2026-04-26-0029 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447221 | 2026-04-26 | FACT-2026-04-26-0030 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447221 | 2026-04-26 | FACT-2026-04-26-0031 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447222 | 2026-04-26 | FACT-2026-04-26-0032 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447223 | 2026-04-26 | FACT-2026-04-26-0033 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447224 | 2026-04-26 | FACT-2026-04-26-0034 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447225 | 2026-04-26 | FACT-2026-04-26-0035 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:32.447226 | 2026-04-26 | FACT-2026-04-26-0036 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895217 | 2026-04-26 | FACT-2026-04-26-0001 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895222 | 2026-04-26 | FACT-2026-04-26-0002 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895224 | 2026-04-26 | FACT-2026-04-26-0003 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895225 | 2026-04-26 | FACT-2026-04-26-0004 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895226 | 2026-04-26 | FACT-2026-04-26-0006 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895227 | 2026-04-26 | FACT-2026-04-26-0007 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895228 | 2026-04-26 | FACT-2026-04-26-0008 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895229 | 2026-04-26 | FACT-2026-04-26-0009 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895230 | 2026-04-26 | FACT-2026-04-26-0010 | skip | 旧事实置信度更高(0.9 >= 0.9)，需用户确认
2026-04-26T09:40:49.895231 | 2026-04-26 | FACT-2026-04-26-0011 | skip | 旧事实置信度更高(0.9 >= 0.9)，需用户确认
2026-04-26T09:40:49.895232 | 2026-04-26 | FACT-2026-04-26-0012 | skip | 旧事实置信度更高(0.85 >= 0.85)，需用户确认
2026-04-26T09:40:49.895233 | 2026-04-26 | FACT-2026-04-26-0013 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895234 | 2026-04-26 | FACT-2026-04-26-0014 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895235 | 2026-04-26 | FACT-2026-04-26-0015 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895236 | 2026-04-26 | FACT-2026-04-26-0016 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895237 | 2026-04-26 | FACT-2026-04-26-0017 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895238 | 2026-04-26 | FACT-2026-04-26-0018 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895239 | 2026-04-26 | FACT-2026-04-26-0019 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895240 | 2026-04-26 | FACT-2026-04-26-0020 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895241 | 2026-04-26 | FACT-2026-04-26-0021 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895242 | 2026-04-26 | FACT-2026-04-26-0023 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895243 | 2026-04-26 | FACT-2026-04-26-0024 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895243 | 2026-04-26 | FACT-2026-04-26-0025 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895244 | 2026-04-26 | FACT-2026-04-26-0026 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895245 | 2026-04-26 | FACT-2026-04-26-0027 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895246 | 2026-04-26 | FACT-2026-04-26-0028 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895247 | 2026-04-26 | FACT-2026-04-26-0029 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895248 | 2026-04-26 | FACT-2026-04-26-0030 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895249 | 2026-04-26 | FACT-2026-04-26-0031 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895250 | 2026-04-26 | FACT-2026-04-26-0032 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895251 | 2026-04-26 | FACT-2026-04-26-0033 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895252 | 2026-04-26 | FACT-2026-04-26-0034 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895253 | 2026-04-26 | FACT-2026-04-26-0035 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895254 | 2026-04-26 | FACT-2026-04-26-0036 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895254 | 2026-04-26 | FACT-2026-04-26-0037 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895255 | 2026-04-26 | FACT-2026-04-26-0038 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895256 | 2026-04-26 | FACT-2026-04-26-0039 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895257 | 2026-04-26 | FACT-2026-04-26-0040 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895258 | 2026-04-26 | FACT-2026-04-26-0041 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895259 | 2026-04-26 | FACT-2026-04-26-0042 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895260 | 2026-04-26 | FACT-2026-04-26-0043 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895261 | 2026-04-26 | FACT-2026-04-26-0044 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895262 | 2026-04-26 | FACT-2026-04-26-0045 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895263 | 2026-04-26 | FACT-2026-04-26-0046 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895264 | 2026-04-26 | FACT-2026-04-26-0047 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895265 | 2026-04-26 | FACT-2026-04-26-0048 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895266 | 2026-04-26 | FACT-2026-04-26-0049 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895267 | 2026-04-26 | FACT-2026-04-26-0050 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895267 | 2026-04-26 | FACT-2026-04-26-0051 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895268 | 2026-04-26 | FACT-2026-04-26-0052 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895269 | 2026-04-26 | FACT-2026-04-26-0053 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895270 | 2026-04-26 | FACT-2026-04-26-0054 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895271 | 2026-04-26 | FACT-2026-04-26-0055 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895272 | 2026-04-26 | FACT-2026-04-26-0056 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895273 | 2026-04-26 | FACT-2026-04-26-0057 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895274 | 2026-04-26 | FACT-2026-04-26-0058 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895275 | 2026-04-26 | FACT-2026-04-26-0059 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895276 | 2026-04-26 | FACT-2026-04-26-0060 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895277 | 2026-04-26 | FACT-2026-04-26-0061 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895278 | 2026-04-26 | FACT-2026-04-26-0062 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895279 | 2026-04-26 | FACT-2026-04-26-0063 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895280 | 2026-04-26 | FACT-2026-04-26-0064 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895281 | 2026-04-26 | FACT-2026-04-26-0065 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895281 | 2026-04-26 | FACT-2026-04-26-0066 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895444 | 2026-04-26 | FACT-2026-04-26-0067 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895449 | 2026-04-26 | FACT-2026-04-26-0068 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895451 | 2026-04-26 | FACT-2026-04-26-0069 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895452 | 2026-04-26 | FACT-2026-04-26-0070 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895453 | 2026-04-26 | FACT-2026-04-26-0071 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895454 | 2026-04-26 | FACT-2026-04-26-0072 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895455 | 2026-04-26 | FACT-2026-04-26-0073 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895456 | 2026-04-26 | FACT-2026-04-26-0074 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895457 | 2026-04-26 | FACT-2026-04-26-0075 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895458 | 2026-04-26 | FACT-2026-04-26-0076 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895459 | 2026-04-26 | FACT-2026-04-26-0077 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T09:40:49.895460 | 2026-04-26 | FACT-2026-04-26-0078 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768686 | 2026-04-25 | FACT-2026-04-25-0051 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768691 | 2026-04-25 | FACT-2026-04-25-0052 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768693 | 2026-04-25 | FACT-2026-04-25-0053 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768694 | 2026-04-25 | FACT-2026-04-25-0054 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768695 | 2026-04-25 | FACT-2026-04-25-0055 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768696 | 2026-04-25 | FACT-2026-04-25-0056 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768698 | 2026-04-25 | FACT-2026-04-25-0057 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768699 | 2026-04-25 | FACT-2026-04-25-0058 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768700 | 2026-04-25 | FACT-2026-04-25-0059 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768701 | 2026-04-25 | FACT-2026-04-25-0060 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768702 | 2026-04-25 | FACT-2026-04-25-0062 | skip | 旧事实置信度更高(0.9 >= 0.9)，需用户确认
2026-04-26T16:44:35.768703 | 2026-04-25 | FACT-2026-04-25-0063 | skip | 旧事实置信度更高(0.9 >= 0.9)，需用户确认
2026-04-26T16:44:35.768704 | 2026-04-25 | FACT-2026-04-25-0064 | skip | 旧事实置信度更高(0.85 >= 0.85)，需用户确认
2026-04-26T16:44:35.768705 | 2026-04-25 | FACT-2026-04-25-0066 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768706 | 2026-04-25 | FACT-2026-04-25-0067 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768707 | 2026-04-25 | FACT-2026-04-25-0068 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768708 | 2026-04-25 | FACT-2026-04-25-0069 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768709 | 2026-04-25 | FACT-2026-04-25-0070 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768710 | 2026-04-25 | FACT-2026-04-25-0071 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768711 | 2026-04-25 | FACT-2026-04-25-0072 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768712 | 2026-04-25 | FACT-2026-04-25-0073 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768713 | 2026-04-25 | FACT-2026-04-25-0074 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768714 | 2026-04-25 | FACT-2026-04-25-0075 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768715 | 2026-04-25 | FACT-2026-04-25-0077 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768716 | 2026-04-25 | FACT-2026-04-25-0078 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768717 | 2026-04-25 | FACT-2026-04-25-0079 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768718 | 2026-04-25 | FACT-2026-04-25-0080 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768719 | 2026-04-25 | FACT-2026-04-25-0081 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768720 | 2026-04-25 | FACT-2026-04-25-0082 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768721 | 2026-04-25 | FACT-2026-04-25-0083 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768723 | 2026-04-25 | FACT-2026-04-25-0084 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768724 | 2026-04-25 | FACT-2026-04-25-0085 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768725 | 2026-04-25 | FACT-2026-04-25-0086 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768726 | 2026-04-25 | FACT-2026-04-25-0087 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768727 | 2026-04-25 | FACT-2026-04-25-0088 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768728 | 2026-04-25 | FACT-2026-04-25-0089 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768729 | 2026-04-25 | FACT-2026-04-25-0090 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768730 | 2026-04-25 | FACT-2026-04-25-0091 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768731 | 2026-04-25 | FACT-2026-04-25-0092 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768732 | 2026-04-25 | FACT-2026-04-25-0093 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:44:35.768733 | 2026-04-25 | FACT-2026-04-25-0094 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
